PairID,Sentence1,Sentence2,STR
24,Thủ_tướng phát lệnh thông xe tuyến tránh thị_xã Tân_An,Thủ tướng đã ra lệnh cho phép lưu thông tuyến đường tránh qua thị xã Tân An.,2
25,"Nghiêm_cấm hợp_thức_hoá vi_phạm xây_dựng , sử_dụng đất sai qui_hoạch",Ngành nông nghiệp đang khuyến khích người dân áp dụng các mô hình canh tác bền vững để bảo vệ môi trường.,0
26,"Nghiêm_cấm hợp_thức_hoá vi_phạm xây_dựng , sử_dụng đất sai qui_hoạch",Công tác quản lý đô thị đang được siết chặt nhằm hạn chế tình trạng xây dựng trái phép và sử dụng đất không đúng mục đích.,1
27,"Nghiêm_cấm hợp_thức_hoá vi_phạm xây_dựng , sử_dụng đất sai qui_hoạch",Việc hợp pháp hóa các sai phạm trong xây dựng và sử dụng đất không đúng quy hoạch bị nghiêm cấm.,2
28,"Mức giá vận_chuyển cành mai , cành đào từ 80.000 - 150.000 đ / bó tuỳ chặng bay .",Giá hoa tươi tại các chợ đầu mối tăng mạnh vào dịp cận Tết do nhu cầu mua sắm của người dân gia tăng.,0
29,"Mức giá vận_chuyển cành mai , cành đào từ 80.000 - 150.000 đ / bó tuỳ chặng bay .",Chi phí vận chuyển hàng hóa bằng đường hàng không thường thay đổi tùy theo quãng đường và loại mặt hàng.,1
30,"Mức giá vận_chuyển cành mai , cành đào từ 80.000 - 150.000 đ / bó tuỳ chặng bay .","Cước phí chuyển cành mai và cành đào dao động từ 80.000 đến 150.000 đồng cho mỗi bó, tùy theo từng chặng bay.",2
31,Cầu Tân_An cũ trở_thành tuyến lưu_thông theo hướng từ miền Tây lên TP. HCM .,Thành phố Hồ Chí Minh đang triển khai kế hoạch cải tạo hệ thống thoát nước để giảm ngập trong mùa mưa.,0
32,Cầu Tân_An cũ trở_thành tuyến lưu_thông theo hướng từ miền Tây lên TP. HCM .,Việc phân luồng giao thông tại khu vực cửa ngõ miền Tây được điều chỉnh nhằm giảm ùn tắc cho các tuyến đường chính.,1
33,Cầu Tân_An cũ trở_thành tuyến lưu_thông theo hướng từ miền Tây lên TP. HCM .,Cầu Tân An cũ hiện được sử dụng làm tuyến giao thông theo chiều từ các tỉnh miền Tây đi lên TP. Hồ Chí Minh.,2
34,TP. HCM : kê_khai đăng_ký nhà_đất toàn TP năm 2004,Thành phố Hồ Chí Minh đang triển khai các dự án mở rộng hệ thống metro nhằm cải thiện giao thông công cộng.,0
35,TP. HCM : kê_khai đăng_ký nhà_đất toàn TP năm 2004,Công tác quản lý và thống kê đất đai tại TP. Hồ Chí Minh được tăng cường để phục vụ quy hoạch và phát triển đô thị.,1
36,TP. HCM : kê_khai đăng_ký nhà_đất toàn TP năm 2004,"Năm 2004, TP. Hồ Chí Minh đã tiến hành kê khai và đăng ký nhà đất trên phạm vi toàn thành phố.",2
37,30 người cả già lẫn trẻ đang theo lớp xoá mù_chữ khi được hỏi 1 + 1 bằng bao_nhiêu họ đều cười_cười lắc_đầu .,Một nhóm sinh viên đại học đang tham gia cuộc thi lập trình để giải các bài toán thuật toán phức tạp.,0
38,30 người cả già lẫn trẻ đang theo lớp xoá mù_chữ khi được hỏi 1 + 1 bằng bao_nhiêu họ đều cười_cười lắc_đầu .,"Một tình huống cụ thể là khi giáo viên hỏi ""1+1 bằng mấy"", nhiều học viên lớn tuổi trong các lớp xóa mù chỉ cười và lắc đầu.",1
39,30 người cả già lẫn trẻ đang theo lớp xoá mù_chữ khi được hỏi 1 + 1 bằng bao_nhiêu họ đều cười_cười lắc_đầu .,"Có khoảng 30 học viên đủ mọi lứa tuổi đang học xoá mù chữ, và khi được hỏi phép tính 1 cộng 1 thì tất cả chỉ cười rồi lắc đầu.",2
40,"Những ngày cuối_cùng của năm 2003 , TS Chấn tất_bật với việc chuyển công_ty ở Trung_Quốc về VN .","Cuối năm 2003, thị trường chứng khoán Việt Nam ghi nhận nhiều biến động về giá cổ phiếu ngân hàng.",0
41,"Những ngày cuối_cùng của năm 2003 , TS Chấn tất_bật với việc chuyển công_ty ở Trung_Quốc về VN .",Nhiều doanh nhân Việt Nam trong giai đoạn đầu những năm 2000 đã cân nhắc việc đưa hoạt động sản xuất từ nước ngoài về trong nước.,1
42,"Những ngày cuối_cùng của năm 2003 , TS Chấn tất_bật với việc chuyển công_ty ở Trung_Quốc về VN .","Vào những ngày cuối năm 2003, tiến sĩ Chấn bận rộn lo việc chuyển công ty từ Trung Quốc về Việt Nam.",2
43,6.500 hộ nghèo Hà_Giang được hỗ_trợ mua Tivi,Nhiều doanh nghiệp điện tử trong nước đang đẩy mạnh sản xuất các dòng tivi thông minh phục vụ thị trường thành thị.,0
44,6.500 hộ nghèo Hà_Giang được hỗ_trợ mua Tivi,Các chương trình an sinh xã hội tại vùng cao thường tập trung hỗ trợ người dân tiếp cận thông tin và phương tiện nghe nhìn.,1
45,6.500 hộ nghèo Hà_Giang được hỗ_trợ mua Tivi,"Tại Hà Giang, 6.500 hộ nghèo đã được hỗ trợ kinh phí để mua tivi.",2
46,"Đường vào xóm Đình_Phú_Định , phường 10 , quận 6 giống như bờ ruộng , lổn_nhổn gạch_đá và lõm_bõm nước .",Quận 6 đang tổ chức các hoạt động văn hóa cộng đồng nhằm thu hút người dân tham gia sinh hoạt cuối tuần.,0
47,"Đường vào xóm Đình_Phú_Định , phường 10 , quận 6 giống như bờ ruộng , lổn_nhổn gạch_đá và lõm_bõm nước .","Nhiều tuyến đường trong khu dân cư nội thành vẫn chưa được nâng cấp, gây khó khăn cho việc đi lại của người dân.",1
48,"Đường vào xóm Đình_Phú_Định , phường 10 , quận 6 giống như bờ ruộng , lổn_nhổn gạch_đá và lõm_bõm nước .","Lối vào xóm Đình Phú Định ở phường 10, quận 6 có mặt đường nham nhở như bờ ruộng, đầy gạch đá và đọng nhiều vũng nước.",2
49,TP. HCM : triển_khai xây nhà lưu_trú công_nhân,Thành phố Hồ Chí Minh đang đẩy mạnh phát triển các khu du lịch sinh thái ven sông nhằm thu hút du khách.,0
50,TP. HCM : triển_khai xây nhà lưu_trú công_nhân,Chính quyền TP. Hồ Chí Minh đang quan tâm đến việc cải thiện điều kiện sinh hoạt cho người lao động tại các khu công nghiệp.,1
51,TP. HCM : triển_khai xây nhà lưu_trú công_nhân,TP. Hồ Chí Minh đang tiến hành xây dựng các khu nhà lưu trú dành cho công nhân.,2
52,Công_nhân Cty TNHH CK VINA đình_công vì không được thưởng tết,Giá cả hàng hóa tiêu dùng tăng mạnh trong dịp cận Tết khiến nhiều gia đình phải thắt chặt chi tiêu.,0
53,Công_nhân Cty TNHH CK VINA đình_công vì không được thưởng tết,"Một trong những nguyên nhân dẫn đến đình công, như ở Công ty CK VINA, thường là do công nhân không nhận được thưởng Tết như mong đợi.",1
54,Công_nhân Cty TNHH CK VINA đình_công vì không được thưởng tết,"Do không được nhận thưởng Tết, công nhân Công ty TNHH CK VINA đã tổ chức đình công.",2
55,"Ngày 7-1-2004 , tôi đến một nhà_thuốc trên đường Lê_Văn_Sĩ , Q. 3 , TP. HCM hỏi mua thuốc Tanakan .","Sáng nay, một quán cà phê mới vừa khai trương trên đường Lê Văn Sĩ, thu hút đông đảo khách trẻ.",0
56,"Ngày 7-1-2004 , tôi đến một nhà_thuốc trên đường Lê_Văn_Sĩ , Q. 3 , TP. HCM hỏi mua thuốc Tanakan .",Thuốc Tanakan thường được kê đơn cho các bệnh nhân gặp vấn đề về tuần hoàn máu não và trí nhớ.,1
57,"Ngày 7-1-2004 , tôi đến một nhà_thuốc trên đường Lê_Văn_Sĩ , Q. 3 , TP. HCM hỏi mua thuốc Tanakan .","Vào ngày 7/1/2004, tôi đã đến một hiệu thuốc trên đường Lê Văn Sĩ, quận 3, TP. Hồ Chí Minh để hỏi mua thuốc Tanakan.",2
58,"Hầm đèo Hải_Vân rồi sẽ "" gánh_vác "" sứ_mệnh đảm_bảo lưu_thông trên con đường thiên_lý Bắc-Nam .",Ngành du lịch miền Trung đang đẩy mạnh quảng bá các điểm tham quan ven biển để thu hút khách quốc tế.,0
59,"Hầm đèo Hải_Vân rồi sẽ "" gánh_vác "" sứ_mệnh đảm_bảo lưu_thông trên con đường thiên_lý Bắc-Nam .",Việc đầu tư các công trình giao thông trọng điểm được kỳ vọng sẽ góp phần giảm ùn tắc trên các tuyến đường huyết mạch của cả nước.,1
60,"Hầm đèo Hải_Vân rồi sẽ "" gánh_vác "" sứ_mệnh đảm_bảo lưu_thông trên con đường thiên_lý Bắc-Nam .","Trong thời gian tới, hầm đèo Hải Vân sẽ đảm nhận vai trò bảo đảm giao thông thông suốt trên tuyến đường Bắc–Nam.",2
61,"Từ Cần_Thơ đi TP HCM bằng máy_bay chỉ mất khoảng 26 phút , trong khi đi bằng đường_bộ phải mất hơn 3 h .",Các hãng hàng không đang mở thêm nhiều đường bay quốc tế mới để phục vụ nhu cầu du lịch sau dịch.,0
62,"Từ Cần_Thơ đi TP HCM bằng máy_bay chỉ mất khoảng 26 phút , trong khi đi bằng đường_bộ phải mất hơn 3 h .",Việc lựa chọn phương tiện di chuyển ảnh hưởng lớn đến thời gian đi lại giữa các thành phố lớn ở miền Nam.,1
63,"Từ Cần_Thơ đi TP HCM bằng máy_bay chỉ mất khoảng 26 phút , trong khi đi bằng đường_bộ phải mất hơn 3 h .","Hành trình từ Cần Thơ đến TP. Hồ Chí Minh nếu đi bằng máy bay chỉ khoảng 26 phút, còn di chuyển bằng đường bộ thì kéo dài trên 3 giờ.",2
64,Giá vé từ Cần_Thơ đi TP Hồ_Chí_Minh dự_kiến là 350.000 đồng / vé .,Nhiều tuyến đường nội đô đang được sửa chữa để giảm ùn tắc giao thông.,0
65,Giá vé từ Cần_Thơ đi TP Hồ_Chí_Minh dự_kiến là 350.000 đồng / vé .,Chi phí di chuyển giữa Cần Thơ và TP Hồ Chí Minh được cho là sẽ tăng trong thời gian tới.,1
66,Giá vé từ Cần_Thơ đi TP Hồ_Chí_Minh dự_kiến là 350.000 đồng / vé .,Dự kiến giá mỗi vé đi từ Cần Thơ đến TP Hồ Chí Minh là 350.000 đồng.,2
67,Giấy_phép xây dưng là công_cụ pháp_lý cần_thiết để quản_lý việc xây_dựng theo quy_hoạch .,Ngành tài chính đang áp dụng nhiều biện pháp mới nhằm kiểm soát lạm phát và ổn định thị trường tiền tệ.,0
68,Giấy_phép xây dưng là công_cụ pháp_lý cần_thiết để quản_lý việc xây_dựng theo quy_hoạch .,Công tác quản lý đô thị cần dựa trên hệ thống quy định và chế tài để hạn chế tình trạng xây dựng trái phép.,1
69,Giấy_phép xây dưng là công_cụ pháp_lý cần_thiết để quản_lý việc xây_dựng theo quy_hoạch .,Giấy phép xây dựng là phương tiện pháp lý quan trọng nhằm kiểm soát hoạt động xây dựng đúng theo quy hoạch.,2
70,Luật quy_định công_trình xây_dựng chỉ được khởi_công khi có đủ thủ và nguồn vốn đầu_tư .,Chính phủ đang xem xét điều chỉnh chính sách thuế nhằm khuyến khích doanh nghiệp nhỏ và vừa phát triển.,0
71,Luật quy_định công_trình xây_dựng chỉ được khởi_công khi có đủ thủ và nguồn vốn đầu_tư .,Việc quản lý các dự án đầu tư xây dựng cần tuân thủ nhiều quy định pháp lý để đảm bảo hiệu quả và tránh lãng phí.,1
72,Luật quy_định công_trình xây_dựng chỉ được khởi_công khi có đủ thủ và nguồn vốn đầu_tư .,"Theo quy định của pháp luật, công trình xây dựng chỉ được phép khởi công khi đã hoàn tất đầy đủ thủ tục và bảo đảm có đủ nguồn vốn đầu tư.",2
73,"Thưởng cho hành_khách phản_ảnh tình_trạng xe dù , cơm tù …",Nhiều nhà hàng đang nâng cấp chất lượng phục vụ để thu hút khách du lịch trong mùa cao điểm.,0
74,"Thưởng cho hành_khách phản_ảnh tình_trạng xe dù , cơm tù …",Cơ quan chức năng đang tìm các biện pháp nhằm hạn chế tình trạng xe dù và nâng cao chất lượng dịch vụ vận tải hành khách.,1
75,"Thưởng cho hành_khách phản_ảnh tình_trạng xe dù , cơm tù …","Hành khách sẽ được khen thưởng nếu cung cấp thông tin phản ánh về các hiện tượng xe dù, cơm tù và những vi phạm tương tự.",2
76,"TP có 22 trung_tâm y_tế quận_huyện , nhiều nơi xây mới rất khang_trang nhưng khai_thác chưa hết công_suất .",Thành phố đang triển khai kế hoạch mở rộng hệ thống công viên cây xanh để cải thiện chất lượng không khí đô thị.,0
77,"TP có 22 trung_tâm y_tế quận_huyện , nhiều nơi xây mới rất khang_trang nhưng khai_thác chưa hết công_suất .",Một số cơ sở y tế địa phương dù được đầu tư cơ sở vật chất nhưng vẫn gặp khó khăn trong việc thu hút người dân đến khám chữa bệnh.,1
78,"TP có 22 trung_tâm y_tế quận_huyện , nhiều nơi xây mới rất khang_trang nhưng khai_thác chưa hết công_suất .","Toàn thành phố hiện có 22 trung tâm y tế cấp quận, huyện; nhiều cơ sở mới được xây dựng khang trang nhưng chưa được sử dụng hết công suất.",2
79,"Bộ Y_tế đang soạn_thảo một đề_án về đảm_bảo cung_ứng thuốc cho người_dân , nhất_là thuốc trong danh_mục thiết_yếu nếu không thì lại mình tự làm khổ mình .",Bộ Giáo dục và Đào tạo đang xây dựng kế hoạch đổi mới chương trình sách giáo khoa ở bậc phổ thông.,0
80,"Bộ Y_tế đang soạn_thảo một đề_án về đảm_bảo cung_ứng thuốc cho người_dân , nhất_là thuốc trong danh_mục thiết_yếu nếu không thì lại mình tự làm khổ mình .",Việc thiếu hụt thuốc tại các cơ sở y tế có thể gây nhiều khó khăn cho người bệnh và ảnh hưởng đến công tác chăm sóc sức khỏe cộng đồng.,1
81,"Bộ Y_tế đang soạn_thảo một đề_án về đảm_bảo cung_ứng thuốc cho người_dân , nhất_là thuốc trong danh_mục thiết_yếu nếu không thì lại mình tự làm khổ mình .","Bộ Y tế đang xây dựng một đề án nhằm bảo đảm nguồn cung thuốc cho người dân, đặc biệt là các loại thuốc thiết yếu, để tránh gây khó khăn cho chính mình.",2
82,"Con dugong có chiều dài 2,75 m , đường_kính 80 cm , nặng trên 400 kg .",Nhiều loài cá nước ngọt có kích thước nhỏ và sinh sống chủ yếu ở các con sông miền núi.,0
83,"Con dugong có chiều dài 2,75 m , đường_kính 80 cm , nặng trên 400 kg .","Một cá thể dugong trưởng thành có thể đạt kích thước rất lớn, ví dụ dài gần 3 mét và nặng trên 400 kg.",1
84,"Con dugong có chiều dài 2,75 m , đường_kính 80 cm , nặng trên 400 kg .","Cá thể dugong này dài khoảng 2,75 mét, có đường kính chừng 80 cm và trọng lượng vượt quá 400 kg.",2
85,600.000 USD thiết_kế qui_hoạch khu trung_tâm Thủ_Thiêm,Thành phố đang kêu gọi đầu tư vào các dự án cải tạo chung cư cũ nhằm nâng cao chất lượng nhà ở cho người dân.,0
86,600.000 USD thiết_kế qui_hoạch khu trung_tâm Thủ_Thiêm,Nhiều dự án quy hoạch đô thị lớn đòi hỏi kinh phí cao để thuê tư vấn thiết kế và xây dựng phương án phát triển tổng thể.,1
87,600.000 USD thiết_kế qui_hoạch khu trung_tâm Thủ_Thiêm,Chi phí dành cho việc thiết kế quy hoạch khu trung tâm Thủ Thiêm là 600.000 USD.,2
88,"Lượng khách đi xe_buýt tăng đột_biến đã "" đánh_thức "" thói_quen đi xe_buýt của người_dân thủ_đô từ thời sau bao_cấp .",Nhiều tuyến đường trong nội thành đang được mở rộng để giảm tình trạng ùn tắc giao thông.,0
89,"Lượng khách đi xe_buýt tăng đột_biến đã "" đánh_thức "" thói_quen đi xe_buýt của người_dân thủ_đô từ thời sau bao_cấp .",Việc cải thiện chất lượng dịch vụ vận tải công cộng đã thu hút thêm người dân sử dụng phương tiện này.,1
90,"Lượng khách đi xe_buýt tăng đột_biến đã "" đánh_thức "" thói_quen đi xe_buýt của người_dân thủ_đô từ thời sau bao_cấp .",Số lượng hành khách đi xe buýt tăng mạnh đã khiến người dân thủ đô quay lại thói quen sử dụng xe buýt như giai đoạn sau bao cấp.,2
91, Trong quí 1-2004 rà_soát lại các qui_hoạch chi_tiết không còn khả_thi để xử_lý .,Thành phố tổ chức lễ khánh thành nhiều công trình văn hóa mới trong năm 2004.,0
92, Trong quí 1-2004 rà_soát lại các qui_hoạch chi_tiết không còn khả_thi để xử_lý .,Các cơ quan chức năng tiến hành xem xét lại một số kế hoạch phát triển đô thị trong năm 2004.,1
93, Trong quí 1-2004 rà_soát lại các qui_hoạch chi_tiết không còn khả_thi để xử_lý .,"Trong quý I năm 2004, các quy hoạch chi tiết không còn tính khả thi sẽ được rà soát và xử lý.",2
94,Em Võ_Huỳnh_Anh_Khoa sải tay bơi giữa làn nước xanh .,Cuộc thi vẽ tranh thiếu nhi được tổ chức tại nhà văn hóa quận.,0
95,Em Võ_Huỳnh_Anh_Khoa sải tay bơi giữa làn nước xanh .,"Bể bơi này nổi tiếng với làn nước trong xanh, lý tưởng cho việc luyện tập và thi đấu bơi lội.",1
96,Em Võ_Huỳnh_Anh_Khoa sải tay bơi giữa làn nước xanh .,Em Võ Huỳnh Anh Khoa đang bơi giữa dòng nước trong xanh.,2
97,Xin cảm_ơn ba_mẹ đã không quản sớm_chiều / nuôi_nấng con khôn_lớn / cho con nhiều niềm vui .,Buổi lễ khai giảng năm học mới được tổ chức trong không khí trang trọng.,0
98,Xin cảm_ơn ba_mẹ đã không quản sớm_chiều / nuôi_nấng con khôn_lớn / cho con nhiều niềm vui .,Sự hy sinh sớm hôm của cha mẹ trong việc nuôi dưỡng và dành cho con cái những niềm vui là điều đáng để con cái biết ơn.,1
99,Xin cảm_ơn ba_mẹ đã không quản sớm_chiều / nuôi_nấng con khôn_lớn / cho con nhiều niềm vui .,"Con biết ơn ba mẹ vì đã vất vả ngày đêm chăm sóc, nuôi dạy con trưởng thành và mang lại cho con nhiều hạnh phúc.",2
100,"Lớn lên theo cha_mẹ đi làm_mướn , khi lấy chồng lại cũng gặp một anh chồng nghèo như chị .",Thành phố đang triển khai nhiều dự án phát triển hạ tầng giao thông.,0
101,"Lớn lên theo cha_mẹ đi làm_mướn , khi lấy chồng lại cũng gặp một anh chồng nghèo như chị .",Nhiều phụ nữ lớn lên trong gia đình lao động nghèo và sau này cũng lập gia đình với người chồng có hoàn cảnh kinh tế khó khăn.,1
102,"Lớn lên theo cha_mẹ đi làm_mướn , khi lấy chồng lại cũng gặp một anh chồng nghèo như chị .","Từ nhỏ theo cha mẹ làm thuê, đến khi lập gia đình chị vẫn kết hôn với một người chồng nghèo.",2
103,"Phải xử_lý kỷ_luật hành_chính thật nghiêm mọi tổ_chức , cá_nhân nào vi_phạm .",Ngành du lịch đang tập trung quảng bá các điểm đến mới trong mùa cao điểm.,0
104,"Phải xử_lý kỷ_luật hành_chính thật nghiêm mọi tổ_chức , cá_nhân nào vi_phạm .",Việc tăng cường giám sát và nâng cao trách nhiệm của cán bộ được xem là cần thiết để hạn chế sai phạm.,1
105,"Phải xử_lý kỷ_luật hành_chính thật nghiêm mọi tổ_chức , cá_nhân nào vi_phạm .",Cần áp dụng biện pháp kỷ luật hành chính nghiêm khắc đối với tất cả tổ chức và cá nhân có hành vi vi phạm.,2
106,"Theo kết_quả điều_tra của Sở NN & PTNT tỉnh Cà_Mau cuối năm 2002 , Cà_Mau có trên 14.000 hộ nông_dân không có đất sản_xuất .",Tỉnh Cà Mau đang đầu tư mở rộng hệ thống giao thông nông thôn ven biển.,0
107,"Theo kết_quả điều_tra của Sở NN & PTNT tỉnh Cà_Mau cuối năm 2002 , Cà_Mau có trên 14.000 hộ nông_dân không có đất sản_xuất .",Nhiều hộ nông dân ở Cà Mau gặp khó khăn về sinh kế do thiếu tư liệu sản xuất.,1
108,"Theo kết_quả điều_tra của Sở NN & PTNT tỉnh Cà_Mau cuối năm 2002 , Cà_Mau có trên 14.000 hộ nông_dân không có đất sản_xuất .","Cuối năm 2002, Sở Nông nghiệp và Phát triển nông thôn tỉnh Cà Mau cho biết địa phương có hơn 14.000 hộ nông dân không có đất để sản xuất.",2
109,"Đầu năm 2004 , UBND tỉnh sẽ tiếp_tục thu_hồi và cân_đối diện_tích để cấp lại cho nông_dân .",Ngành giáo dục địa phương đang chuẩn bị kế hoạch tuyển sinh cho năm học mới.,0
110,"Đầu năm 2004 , UBND tỉnh sẽ tiếp_tục thu_hồi và cân_đối diện_tích để cấp lại cho nông_dân .",Chính quyền địa phương đang xem xét các giải pháp hỗ trợ sản xuất và ổn định đời sống cho người dân nông thôn.,1
111,"Đầu năm 2004 , UBND tỉnh sẽ tiếp_tục thu_hồi và cân_đối diện_tích để cấp lại cho nông_dân .","Vào đầu năm 2004, UBND tỉnh sẽ tiếp tục thu hồi, sắp xếp lại quỹ đất để phân bổ lại cho nông dân.",2
112,Tôi xách Honda chạy một_mạch xuống U_Minh .,Buổi họp tổng kết cuối năm của công ty diễn ra tại hội trường lớn.,0
113,Tôi xách Honda chạy một_mạch xuống U_Minh .,"Con đường từ thành phố xuống vùng U Minh khá bằng phẳng và thông thoáng, thuận tiện cho việc di chuyển bằng xe máy.",1
114,Tôi xách Honda chạy một_mạch xuống U_Minh .,Tôi chạy xe Honda thẳng một mạch xuống vùng U Minh.,2
115,"Xe chạy một_mạch suốt 10 tiếng đồng_hồ không nghỉ , mặc cho rất nhiều tiếng la_ó "" dừng lại cho đi vệ_sinh "" từ phía hành_khách .",Ban tổ chức đã hoàn tất công tác chuẩn bị cho lễ hội văn hóa mùa xuân.,0
116,"Xe chạy một_mạch suốt 10 tiếng đồng_hồ không nghỉ , mặc cho rất nhiều tiếng la_ó "" dừng lại cho đi vệ_sinh "" từ phía hành_khách .","Việc xe chạy liên tục hàng giờ đồng hồ không dừng, bất chấp yêu cầu của hành khách, là một nguyên nhân phổ biến gây mệt mỏi và bức xúc trong các chuyến xe đường dài.",1
117,"Xe chạy một_mạch suốt 10 tiếng đồng_hồ không nghỉ , mặc cho rất nhiều tiếng la_ó "" dừng lại cho đi vệ_sinh "" từ phía hành_khách .","Chiếc xe chạy liên tục suốt 10 giờ liền không dừng, dù nhiều hành khách liên tục yêu cầu được dừng lại để đi vệ sinh.",2
118,"Xe lại lăn bánh , và những hành_khách lần_lượt rụng dần theo cách hành_xử rất côn_đồ của nhà_xe .",Giá vé xem phim cuối tuần tại các rạp trung tâm vừa được điều chỉnh.,0
119,"Xe lại lăn bánh , và những hành_khách lần_lượt rụng dần theo cách hành_xử rất côn_đồ của nhà_xe .",Thái độ phục vụ thiếu chuyên nghiệp của một số hãng vận tải khiến khách hàng không hài lòng.,1
