ID,sentence_1_vie,sentence_2_viet,score
ENG-train-0019,Đặc biệt là nếu bạn thực sự thích anh ấy và biết anh ấy là người nhút nhát.,đặc biệt nếu bạn thực sự thích anh ấy và biết anh ấy nhút nhát.,1
ENG-train-0020,Một người đàn ông tại chợ nông sản.,Một người đàn ông đang ở chợ nông sản.,1
ENG-train-0021,"Theo thống kê dân số năm 2000, dân số là 517 người.","Tính đến năm 2000, dân số là 517 người.",1
ENG-train-0022,"Hít thở sâu, tận hưởng trọn vẹn không khí trong lành.","Hít một hơi thật sâu, để không khí tràn vào.",1
ENG-train-0023,"Nếu bạn tình cờ gặp tôi trước khi tôi quay lại, vui lòng nhắc tôi đợi nhé.",Nếu bạn gặp tôi trước khi tôi quay lại...xin hãy bảo tôi đợi.,1
ENG-train-0024,Tại sao bạn vẫn chưa nói với họ?,Sao bạn vẫn chưa nói với họ?,1
ENG-train-0025,Tôi cảm thấy thoải mái hơn khi trời mưa.,Thực ra tôi cảm thấy thoải mái hơn khi trời mưa.,1
ENG-train-0026,Người La Mã có một loại chuồng trại đặc biệt gọi là glirarium dùng để nuôi chuột sóc phục vụ cho bữa ăn.,"Người La Mã có một nơi đặc biệt để nuôi chuột sóc, được gọi là glirarium.",0.97
ENG-train-0027,Đó là của Leo và tôi không thích Leo.,Đó là của Leo.......... :( Tôi ghét Leo.,0.97
ENG-train-0028,Vì Pittsburgh thật tuyệt vời và ai cũng ước mình có thể sống ở đó.,Vì Pittsburgh tuyệt vời và ai cũng ước mình được sống ở đó!,0.97
ENG-train-0029,"Khi tôi thử lại, tôi đã có thể tung hứng được.","Khi quay lại tập luyện, tôi đã có thể tung hứng được!",0.97
ENG-train-0030,"Bạn đã từng xem bộ phim ""Robin Hood: Hoàng tử của những tên trộm"" chưa?","Bạn đã từng xem phim ""Robin Hood: Hoàng tử của những tên trộm"" chưa?",0.97
ENG-train-0031,Tôi chỉ đùa thôi về chuyện em bé nhà Gilligan... Tôi hứa đấy!,Tôi chỉ nói đùa về chuyện đứa bé của Gilliants thôi.,0.97
ENG-train-0032,Hai con chó đang tè vào một trụ cứu hỏa màu đỏ.,Hai con chó đang tè vào trụ cứu hỏa màu đỏ.,0.97
ENG-train-0033,Tôi đã có một bước đột phá lớn trong việc thiết kế chiếc váy mà tôi đang làm.,Tôi đã đạt được một số tiến bộ với chiếc váy mà tôi đang may.,0.97
ENG-train-0034,"Theo thống kê dân số năm 2000, dân số là 127 người.","Tính đến năm 2000, dân số là 127 người.",0.97
ENG-train-0035,"Đừng vội vàng yêu một cô gái, mà hãy để các cô gái yêu bạn.",P.S: Đừng phải lòng một cô gái... hãy để các cô gái phải lòng bạn!!,0.97
ENG-train-0036,Đáng lẽ đó phải là một khoảnh khắc tuyệt vời đối với tôi khi làm bố.,"Với tôi, một người cha, đó lẽ ra phải là một khoảnh khắc tuyệt vời.",0.97
ENG-train-0037,"George, Eliza và Harry cũng đã giành được tự do sau khi vượt biên sang Canada.","Cuối cùng George, Eliza và Harry đã đến Canada và được tự do.",0.97
ENG-train-0038,"Tôi là một ông chủ tốt, phải không nào?","Nhưng tôi là một ông chủ tốt, phải không?",0.97
ENG-train-0039,Chúng tôi đã có khoảng thời gian tuyệt vời ở Vegas!,Chúng tôi đã có khoảng thời gian tuyệt vời ở Vegas!,0.97
ENG-train-0040,Nó đôi khi được gọi là thân cây.,Một số người cũng gọi nó là thân cây.,0.97
ENG-train-0041,"Vâng, tôi là con gái và tôi thích chơi trò chơi điện tử.","Và đúng vậy, tôi là một cô gái thích chơi trò chơi điện tử.",0.97
ENG-train-0042,Tôi vừa phát hiện mình có thai và tôi đổ lỗi cho anh.,Tôi vừa phát hiện mình có thai và đó là lỗi của anh!!!,0.97
ENG-train-0043,"Điều này vô cùng quan trọng với bạn, phải không?","Điều đó rất quan trọng với bạn, phải không?",0.97
ENG-train-0044,"John Schneider trông vẫn rất phong độ dù tuổi tác còn trẻ, tôi rất thích anh ấy trong phim 'Dukes of Hazzard!'",John Schneider vẫn rất phong độ... tôi rất thích anh ấy trong phim The Dukes of Hazzard!,0.97
ENG-train-0045,"Ngoài ra, nam giới trưởng thành muộn hơn nữ giới.","Ngoài ra, nam giới trưởng thành muộn hơn nữ giới.",0.97
ENG-train-0046,Điều khiến mọi chuyện tồi tệ hơn là không ai chịu nói ra điều đó.,Sẽ còn tệ hơn nếu không ai nói ra điều đó.,0.97
ENG-train-0047,"Sau đó, trong vòng hai mươi phút, hãy tập trung tại đường băng.","Tập trung trên đường băng, trong 20 phút nữa.",0.97
ENG-train-0048,Mọi chuyện vẫn chưa ngã ngũ.,Vẫn chưa thể biết chắc chắn...,0.97
ENG-train-0049,"Vâng, tôi nhớ là nó rất ngon.","Ừ, tôi nhớ rồi... nó khá hay.",0.97
ENG-train-0050,"Nếu họ yêu cầu tiền, hãy nói không. Không nên trả tiền cho bất kỳ người môi giới nào cho đến khi bạn nhận được công việc.","(Nếu họ đòi tiền, bạn hãy nói không... không có người môi giới nào được trả tiền cho đến khi bạn có được công việc.)",0.97
ENG-train-0051,Và có một số lượng lớn các tế bào này cấu thành nên hệ thần kinh.,Hệ thần kinh bao gồm một số lượng lớn tế bào.,0.97
ENG-train-0052,Bài hát đó sẽ được các chàng trai bật cho bạn gái của họ nghe.,Và các chàng trai sẽ bật bài hát đó cho bạn gái nghe hoặc gì đó.,0.97
ENG-train-0053,Croatia bắt đầu đếm ngược đến ngày gia nhập EU mang tính lịch sử.,Croatia đang đếm ngược đến ngày gia nhập EU.,0.97
ENG-train-0054,Tôi thích khi kẻ yếu thế giành chiến thắng.,Tôi thích khi kẻ yếu thế giành chiến thắng.,0.97
ENG-train-0055,DC Comics sẽ tái giới thiệu Green Lantern là người đồng tính.,Green Lantern sẽ được tái khởi động với hình tượng siêu anh hùng đồng tính.,0.97
ENG-train-0056,Moffitt cho biết cần phải lặp lại kết quả này trong một nghiên cứu khác trước khi tiến hành xét nghiệm cá nhân để xác định sự hiện diện của các phiên bản dài hoặc ngắn của gen này.,Giáo sư Moffitt cho biết cần phải lặp lại kết quả này trước khi tiến hành xét nghiệm cá nhân để xác định sự hiện diện của các phiên bản dài hoặc ngắn của gen này.,0.97
ENG-train-0057,Nghiên cứu về những sinh vật này là công việc cả đời của tôi.,Tôi đã dành cả đời mình để nghiên cứu những sinh vật này.,0.97
ENG-train-0058,Người đàn ông đang ăn.,Một người đàn ông đang ăn.,0.97
ENG-train-0059,"Người mù vừa nhặt búa và cưa lên vừa nói: ""Tôi thấy rồi.""","""Tôi hiểu rồi,"" người mù nói, vừa nhặt búa và cưa lên.",0.97
ENG-train-0060,Người đàn ông và hai cậu bé nhảy trên tấm bạt lò xo.,Một người đàn ông và hai cậu bé đang nhảy trên tấm bạt lò xo.,0.97
ENG-train-0061,Hãng Greyhound làm rất tốt công việc vận chuyển hành khách đến các địa điểm khác nhau.,Hãng Greyhound khá tốt trong việc đưa bạn đến những nơi bạn cần đến.,0.97
ENG-train-0062,"Hắn vẫn giơ súng lên, và mặc dù nó đang rung lên, nhưng vẫn chĩa thẳng về phía David.","Khẩu súng vẫn chĩa thẳng vào David, và dù tay hắn run rẩy, hắn vẫn liên tục nhắm bắn vào David.",0.97
ENG-train-0063,Tôi vô cùng ngạc nhiên trước số lượng bạn bè của bố tôi.,Tôi ngạc nhiên vì bố tôi có nhiều bạn đến vậy.,0.97
ENG-train-0064,Tôi rất thích Billy Talent. Họ là một trong những nhóm nhạc yêu thích của tôi.,"Tôi rất thích Billy Talent, họ là một trong những nhóm nhạc yêu thích của tôi.",0.97
ENG-train-0065,Hai người phụ nữ chụp ảnh cùng một em bé.,Hai người phụ nữ tươi cười đang bế một em bé.,0.94
ENG-train-0066,"Chúc bạn hoàn thành nhiệm vụ một cách tốt nhất. Nếu trả lời đúng, bạn sẽ nhận được thêm 5 điểm.","Chúc may mắn! Nếu trả lời đúng, bạn sẽ được cộng thêm 5 điểm nhé!",0.94
ENG-train-0067,"Địa chỉ của họ là: 47483 Connecticut Dr, Nashville.",Họ sống tại địa chỉ 47483 đường Connective ở Nashville.,0.94
ENG-train-0068,Anh ta nói rằng mình muốn một cặp kính râm.,Anh ấy nói anh ấy muốn một cặp kính râm!,0.94
ENG-train-0069,Hãy tiếp tục tìm kiếm ở những khu vực khác. Vẫn còn nhiều phụ nữ tốt và dễ mến ngoài kia.,"Hãy tiếp tục tìm kiếm ở những nơi khác, ngoài kia vẫn còn nhiều phụ nữ tốt bụng và thú vị...",0.94
ENG-train-0070,Tôi dự định đi xem phim và đua xe go-kart vào đêm dạ hội.,"Đêm dạ hội, lẽ ra tôi sẽ đi xem phim và đua xe kart!",0.94
ENG-train-0071,"Nhìn cận cảnh, những mảnh đá phiến trông khá đẹp.",Những mảnh đá phiến nhìn cận cảnh trông khá đẹp.,0.94
ENG-train-0072,Khoảng 60 người thiệt mạng do giẫm đạp trong vụ việc ở Bờ Biển Ngà.,61 người thiệt mạng trong vụ giẫm đạp ở Bờ Biển Ngà,0.94
ENG-train-0073,Không hơn gì bất kỳ người phụ nữ nào khác.,Không hơn gì những cô gái khác!,0.94
ENG-train-0074,"Tôi không đồng ý, tôi rất thích ER và Wildfire!","Không, tôi thích ER... và Wildfire!",0.94
ENG-train-0075,Coldplay đang trở nên nổi tiếng rất nhanh chóng.,Coldplay đang nổi lên rất nhanh!,0.94
ENG-train-0076,"Phần tiếp theo, Pikmin 2, được phát hành vào năm 2004.",Pikmin cũng có phần tiếp theo mang tên Pikmin 2 ra mắt năm 2004 trên hệ máy GameCube.,0.94
ENG-train-0077,Một người phụ nữ và một người đàn ông đang nhảy múa dưới mưa.,Một người đàn ông và một người phụ nữ đang nhảy múa dưới mưa.,0.94
ENG-train-0078,Cây Jamun bắt đầu ra hoa từ tháng 3 đến tháng 4.,Cây Jamun bắt đầu ra hoa vào tháng 3-4.,0.94
ENG-train-0079,Thỏ đuôi bông có khả năng kháng bệnh myxomatosis cao hơn so với thỏ châu Âu.,Thỏ đuôi bông không dễ mắc bệnh myxomatosis như thỏ châu Âu.,0.94
ENG-train-0080,Tôi và các bạn của tôi từng rất thích đi làm móng.,Tôi và các bạn của mình rất thích đi làm móng.,0.94
ENG-train-0081,Câu trả lời thứ hai là tôi vừa đi vệ sinh và lấy một cái băng vệ sinh Tampax.,Câu trả lời thứ 2 là: Tôi vừa đi vệ sinh và lấy một cái băng vệ sinh.,0.94
ENG-train-0082,Hiện tại Bishan có 3 trung tâm mua sắm.,Bishan có ba trung tâm mua sắm.,0.94
ENG-train-0083,"Được rồi, ai sẵn sàng thưởng thức bánh kếp chuối bơ đậu phộng nào?","Được rồi, ai muốn ăn bánh kếp chuối với bơ đậu phộng nào?",0.94
ENG-train-0084,"Tôi đọc ở đâu đó rằng một bộ phim mới sẽ ra mắt vào năm 2008, hoặc năm sau.",Tôi đọc ở đâu đó rằng một bộ phim mới sẽ ra mắt vào năm sau hoặc năm 2008.,0.94
ENG-train-0085,Một người phụ nữ đang đo mắt cá chân của người phụ nữ khác.,Một người phụ nữ đo mắt cá chân của một người phụ nữ khác.,0.94
ENG-train-0086,Có thể là do di truyền hoặc có thể anh ấy thích trang điểm màu tối trên mũi.,Có thể là do di truyền... hoặc có thể anh ấy thích trang điểm đậm ở mũi!!!,0.94
ENG-train-0087,Tôi thích Tess nhưng Jessica thì quá ngoan ngoãn!,"Tôi thích Tess, còn Jessica thì quá ngoan ngoãn!",0.94
ENG-train-0088,Sân vận động Pittodrie là một sân vận động bóng đá nằm ở thành phố Aberdeen của Scotland.,"Sân vận động Pittodrie là một sân vận động ở Aberdeen, Scotland.",0.94
ENG-train-0089,Đừng cảm thấy tồi tệ. Con trai tôi 31 tuổi mà vẫn còn độc thân.,"Đừng cảm thấy tồi tệ, con trai tôi 31 tuổi rồi mà vẫn còn độc thân.",0.94
ENG-train-0090,half.com là một trang web tốt để bán lại sách của bạn.,half.com là một trang web tuyệt vời để bán sách của bạn!,0.94
ENG-train-0091,"Hoa, thường là hoa hồng, và một hộp kẹo.",Hoa thường là hoa hồng và một ít kẹo!,0.94
ENG-train-0092,Tôi sẽ đưa bạn ra khỏi Rome một cách an toàn.,Tôi sẽ đưa bạn từ Rome đến nơi an toàn.,0.94
ENG-train-0093,Đây là trang web của Slipknot: www.Pulseofthemaggots.com.,"Ừm, đây là trang web của Slipknot: www.pulseofthemaggots.com !!",0.94
ENG-train-0094,Những câu hỏi của bạn không có ý nghĩa gì cả.,Câu hỏi của bạn chẳng có nghĩa gì cả!!!!!!,0.94
ENG-train-0095,"Điều đó còn tùy thuộc, bạn có thực sự muốn gặp anh ta không?",Điều đó phụ thuộc vào việc bạn có thực sự muốn gặp anh ấy hay không.,0.94
ENG-train-0096,Mô hình Trái Đất phẳng cho rằng Trái Đất có hình dạng một mặt phẳng.,Ý tưởng về Trái Đất phẳng cho rằng bề mặt Trái Đất là một mặt phẳng.,0.94
ENG-train-0097,Fluoxetine là một loại thuốc chống trầm cảm thuộc nhóm thuốc ức chế tái hấp thu serotonin có chọn lọc.,Fluoxetine là một trong nhóm thuốc chống trầm cảm được gọi là thuốc ức chế tái hấp thu serotonin có chọn lọc.,0.94
ENG-train-0098,Bạn đã đưa ra quyết định của mình rồi.,Bạn đã đưa ra quyết định rồi... mọi chuyện đã kết thúc.,0.94
ENG-train-0099,"Amsterdam toàn là gái mại dâm, phải không?","Ở Amsterdam chỉ toàn gái mại dâm thôi, đúng không?",0.94
ENG-train-0100,Phe đối lập Syria đề nghị chính quyền Assad ngừng bắn tại Homs trong suốt tháng Ramadan.,Phe đối lập Syria đề nghị lực lượng của Assad ngừng bắn trong suốt tháng Ramadan.,0.94
ENG-train-0101,Tôi thích bài hát đó nếu đó là bài hát phù hợp.,Tôi thích bài hát đó nếu đó là bài hát phù hợp ;),0.94
ENG-train-0102,Obama ca ngợi Mandela là 'nguồn cảm hứng',Obama ca ngợi tác động truyền cảm hứng của Mandela.,0.94
ENG-train-0103,Hãy làm cho bản thân mình hạnh phúc trước khi làm cho người khác hạnh phúc!,Hãy làm cho bản thân mình hạnh phúc trước khi làm cho người khác hạnh phúc!,0.94
ENG-train-0104,Cổ phiếu KL vẫn duy trì ở mức cao vào giữa buổi chiều.,Cổ phiếu KL tiếp tục xu hướng tăng vào giữa buổi chiều.,0.94
ENG-train-0105,Chữ ký cũng có nghĩa là chữ viết tay của một người.,Chữ ký cũng có thể có nghĩa là chữ viết tay của ai đó.,0.94
ENG-train-0106,"Game Maker là một chương trình máy tính dành cho hệ điều hành Windows, ban đầu được phát triển bởi Mark Overmars bằng ngôn ngữ lập trình Delphi.","Game Maker là một chương trình dành cho hệ điều hành Windows, được Mark Overmars tạo ra đầu tiên.",0.94
ENG-train-0107,Chẳng trách Edward lại phản ứng như vậy.,Không có gì ngạc nhiên khi Edward phản ứng như vậy.,0.94
ENG-train-0108,Tôi không chắc bạn cần nhạc dành cho saxophone hay piano.,Tôi không chắc bạn cần nhạc kèn saxophone hay nhạc piano nữa.,0.94
ENG-train-0109,Keifer đã thể hiện xuất sắc vai Jack Bauer.,"Đúng vậy, Keifer đã thể hiện vai Jack Bauer rất xuất sắc!!",0.94
ENG-train-0110,"Đến năm 1850, Strauss tự gọi mình là Levi.","Đến năm 1850, ông đã lấy tên là ""Levi Strauss"".",0.94
ENG-train-0111,Hãy kéo anh ấy sang một bên và nói cho anh ấy biết cảm xúc thật của bạn.,Hãy kéo anh ấy sang một bên và nói cho anh ấy biết cảm xúc thật của bạn.,0.94
ENG-train-0112,"Fred Hoyle được ghi nhận là người đã đặt ra thuật ngữ ""Vụ nổ lớn"" trong một chương trình phát thanh năm 1949.","Fred Hoyle đã gọi lý thuyết này là ""Vụ nổ lớn"" trên chương trình phát thanh của mình.",0.94
ENG-train-0113,Snowden cho rằng 'không có cơ hội' nào để có một phiên tòa công bằng tại Mỹ.,"Snowden cho rằng ""không có cơ hội"" được xét xử công bằng tại Mỹ.",0.94
ENG-train-0114,Tôi tin rằng nó có thể kịch tính hơn nữa.,Tôi nghĩ lẽ ra nó có thể kịch tính hơn nữa!,0.94
ENG-train-0115,"Mức lương tối thiểu là mức lương thấp nhất theo giờ, ngày hoặc tháng mà người sử dụng lao động được phép trả cho người lao động theo luật.",Mức lương tối thiểu là số tiền thấp nhất mà người lao động trong một doanh nghiệp có thể được trả.,0.94
ENG-train-0116,Tôi là người da đen và thấy chuyện đó buồn cười.,Tôi là người da đen và thấy nó cực kỳ buồn cười!!!,0.94
ENG-train-0117,"Cọ vẽ của họa sĩ thường được đánh số theo kích thước, mặc dù không có tiêu chuẩn chính xác nào cho kích thước vật lý của chúng.","Cọ vẽ của họa sĩ thường có kích thước được đánh số, nhưng không có tiêu chuẩn chung nào cả.",0.94
ENG-train-0118,"Tôi không biết, xin lỗi nhưng cô ấy có giọng hát tuyệt vời và bài hát tôi thích nhất của cô ấy là Breakaway.","Tôi không biết, xin lỗi nhưng cô ấy có giọng hát tuyệt vời và bài hát yêu thích của tôi của cô ấy là Breakaway.",0.94
ENG-train-0119,Federer giành chức vô địch Wimbledon lần thứ 7,Federer giành chức vô địch Wimbledon lần thứ 7,0.94
ENG-train-0120,Bạn nên bắt đầu lại cuộc sống của mình.,Bạn nên bắt đầu một cuộc sống mới.,0.94
ENG-train-0121,"Theo thống kê dân số năm 2006, Euroa có 2.776 người.","Năm 2006, có 2.776 người sinh sống tại thị trấn này.",0.94
ENG-train-0122,Tôi đã nhận được rất nhiều sự giúp đỡ từ Jack Daniels.,Rượu Jack Daniels đã giúp tôi rất nhiều.,0.94
ENG-train-0123,Tôi phải làm thế nào để giành lại trái tim cô ấy?,Tôi phải làm thế nào để giành lại trái tim cô ấy?,0.94
ENG-train-0124,Việc thực thi các điều khoản của Chỉ thị về xử phạt đối với người sử dụng lao động cần được hỗ trợ và giám sát.,"Cơ quan này sẽ cần giám sát và kiểm soát việc thực thi Chỉ thị, trong đó quy định các hình phạt đối với người sử dụng lao động.",0.94
ENG-train-0125,Denkova và Staviski là những vận động viên trượt băng nghệ thuật người Bulgaria đầu tiên giành huy chương tại Giải vô địch trượt băng nghệ thuật thế giới.,"Denkova và Staviski là những vận động viên trượt băng người Bulgaria đầu tiên giành chức vô địch thế giới, điều mà họ đã làm được vào năm 2006 và 2007.",0.94
ENG-train-0126,Xenon là nguyên tố duy nhất có chín đồng vị bền.,"Ví dụ, xenon có 9 đồng vị.",0.94
ENG-train-0127,Gặp cháu sẽ làm bà cháu rất vui.,Bà sẽ rất vui khi gặp cháu.,0.94
ENG-train-0128,Con người thích và khao khát những điều không thể đạt được.,Mọi người thích và muốn những thứ họ không thể có.,0.94
ENG-train-0129,"Matthew McConaughey, và tôi thậm chí không phải là người đồng tính.",Matthew McChanughey... và tôi thậm chí còn không phải là người đồng tính!,0.94
ENG-train-0130,Cuộc tìm kiếm thi thể năm nay đã tìm thấy hai mươi thi thể.,Năm nay đã có 20 thi thể được tìm thấy.,0.94
ENG-train-0131,Tôi không hiểu tại sao mọi người lại trả lời một cách thô lỗ.,Tôi không hiểu sao mọi người cứ trả lời một cách thô lỗ thế.,0.94
ENG-train-0132,"Một trạm xăng có giá 2,52 đô la và 0,9% một gallon.","Một trạm xăng tên là M&H bán xăng với giá 2,52 đô la.",0.93
ENG-train-0133,Michelle Obama sẽ đóng vai chính trong loạt phim Parks and Recreation.,Michelle Obama sẽ xuất hiện trong chương trình 'Parks and Recreation',0.93
ENG-train-0134,Tôi không hề buộc tội anh ta là người gì khác ngoài việc anh ta là người khôn ngoan và đầy tham vọng.,"Xét cho cùng, tôi chỉ trách anh ta vì sự xảo quyệt và tham vọng của mình.",0.93
ENG-train-0135,Kỳ nhông châu Á là loài kỳ nhông nguyên thủy được tìm thấy khắp châu Á và ở Nga thuộc châu Âu.,Kỳ nhông châu Á là một loài kỳ nhông nguyên thủy có thể được tìm thấy khắp châu Á.,0.91
ENG-train-0136,Những kẻ phá đám cưới và chàng trai 40 tuổi còn trinh.,Những kẻ phá đám cưới và chàng trai 40 tuổi còn trinh.,0.91
ENG-train-0137,"Ngươi là anh trai của Ragnar Lothbrok, phải không?","Anh là anh trai của Ragnar Lothbrok, phải không?",0.91
ENG-train-0138,"Để trả lời câu hỏi của bạn, bất kỳ thành phố lớn nào cũng được. Cứ hỏi tài xế taxi mà xem.","Để trả lời câu hỏi của bạn, bất kỳ thành phố lớn nào... cứ hỏi tài xế taxi xem sao.",0.91
ENG-train-0139,"Chúng ta đã chi hai triệu, vượt xa ngân sách ban đầu hai triệu.","Chúng tôi đã vượt quá ngân sách ban đầu 2,2 triệu.",0.91
ENG-train-0140,Tôi muốn nghe câu chuyện từ phía bạn.,Tôi muốn nghe quan điểm của bạn.,0.91
ENG-train-0141,Tôi muốn xem mọi người sẽ phản ứng như thế nào.,Tôi làm vậy vì muốn xem mọi người sẽ phản ứng thế nào.,0.91
ENG-train-0142,"Nếu bạn không làm vậy, chắc chắn có lý do.","Nếu không, liệu có lý do nào khiến bạn không làm vậy không?",0.91
ENG-train-0143,Con người luôn muốn những thứ họ không thể có được.,Con người luôn muốn những thứ họ không thể có.,0.91
ENG-train-0144,"Chỉ cần nhìn những bức ảnh đó thôi, chắc hẳn tình hình rất khó khăn.",Việc xem xét những bức ảnh đó hẳn rất khó khăn.,0.91
ENG-train-0145,Mỹ tin rằng chính phủ Syria đã sử dụng vũ khí hóa học.,Mỹ nghi ngờ Syria đã sử dụng vũ khí hóa học.,0.91
ENG-train-0146,Để sang được bờ bên kia.,Để đến được phía bên kia,0.91
ENG-train-0147,Sự cố đường ray làm gián đoạn dịch vụ tàu hỏa giữa Raffles Place và Marina Bay.,Dịch vụ tàu hỏa bị gián đoạn giữa Raffles Place và Marina Bay.,0.91
ENG-train-0148,Tôi không biết gì về cha cô ấy cả.,Tôi không biết gì về cha cô ấy.,0.91
ENG-train-0149,"Thuật toán Hamming có thể phát hiện và sửa lỗi một bit, cũng như phát hiện lỗi hai bit.","Với mã Hamming, người ta có thể sửa lỗi một bit và phát hiện lỗi hai bit.",0.91
ENG-train-0150,"""Sống bằng lời cầu nguyện."" Bon Jovi",Sống Trên Lời Cầu Nguyện - Bon Jovi,0.91
ENG-train-0151,Một vận động viên bơi lội đang thực hiện kiểu bơi ngửa trong bể bơi.,một người đang bơi ngửa trong bể bơi,0.91
ENG-train-0152,"Eo ơi, Bridgette đang uống sữa trực tiếp từ hộp.","Phù, Bridgette uống sữa trực tiếp từ hộp.",0.91
ENG-train-0153,Tôi rất mong chờ được đọc những phần còn lại của bộ truyện.,Tôi rất mong chờ được đọc những cuốn còn lại trong loạt sách này.,0.91
ENG-train-0154,"Việc áp dụng phương châm ""Chỉ cần nói không"" phụ thuộc vào hoàn cảnh.","Hãy nói ""Không"". Điều đó còn tùy thuộc vào việc bạn muốn từ chối điều gì.",0.91
ENG-train-0155,Cuốn sách này rất thú vị.,**Cảnh báo tiết lộ nội dung** Đây là một cuốn sách thực sự thú vị.,0.91
ENG-train-0156,"Tôi bị đau bụng vì lo lắng, bởi vì anh ta làm tôi sợ.",Tôi cảm thấy bồn chồn trong bụng vì anh ấy làm tôi sợ.,0.91
ENG-train-0157,Tôi nghĩ bạn cần đợi đến khi đủ trưởng thành để xử lý tình huống này.,"Nếu bạn không thể chịu đựng được, hãy đợi đến khi bạn đủ trưởng thành.",0.91
ENG-train-0158,Điều này cũng bao gồm một kế hoạch quản lý đối với bùn thải.,Kế hoạch quản lý bùn thải cũng được bao gồm.,0.91
ENG-train-0159,"Khoảng 12 giờ đêm, nhà máy đã thải ra khí methyl isocyanate và các chất độc khác, dẫn đến việc hơn 500.000 người bị phơi nhiễm.","Vào ngày 3 tháng 12 năm 1984, nhà máy đã thải ra 42 tấn khí methyl isocyanate độc ​​hại, khiến hơn 500.000 người bị phơi nhiễm khí độc.",0.91
ENG-train-0160,Bạn cần tìm một người đại diện và đảm bảo nhận được tiền trước khi trả tiền cho bất kỳ ai khác.,Hãy tìm một người đại diện... và đừng trả tiền cho ai cho đến khi bạn nhận được tiền.,0.91
ENG-train-0161,"Nếu bạn biết con số 1/18 thứ ba, hãy chia sẻ với tôi nhé!","Nếu bạn biết con số 1/18 thứ ba, VUI LÒNG chia sẻ với tôi!!!",0.91
ENG-train-0162,Thường thì hệ thần kinh sẽ suy sụp sau những sự sỉ nhục kiểu đó.,"Sau sự sỉ nhục như vậy, hệ thần kinh sẽ suy sụp.",0.91
ENG-train-0163,"Này anh bạn, cậu phải giúp tôi mua một cái điện thoại mới.","Này anh bạn, tôi cần mua điện thoại mới từ anh đấy.",0.91
ENG-train-0164,"Việc này không dễ, nhưng rất đáng để nỗ lực.","Chắc chắn không dễ dàng, nhưng rất đáng giá!",0.91
ENG-train-0165,Raimond Aumann là một cầu thủ bóng đá người Đức.,Raimond Aumann là cựu cầu thủ bóng đá người Đức.,0.91
ENG-train-0166,Triều Tiên phóng ba tên lửa tầm ngắn.,Triều Tiên phóng tên lửa tầm ngắn,0.91
